track_ID,track_name,track_type,shape,surface,length_miles,aerial_image_url,latitude,longitude,city,state_abbr,country_name,promotion_ID,season,promotion_name,track_promotion_event_ID,event_name,event_date,event_status,race_event_ID,race_name,season_race_no,money_for_win,feature_num_laps,weather,track_conditions,race_status,time_status,series
6326,Volusia Speedway Park,,D-shaped Oval,Dirt,0.425,https://dv51o5gtpfm3w.cloudfront.net/Volusia_DCN2025 copy.jpg,29.21485,-81.34485,Barberville,FL,United States,5995776,2026,World of Outlaws Bike Week Jamboree,4548492,World of Outlaws Bike Week Jamboree,2026-03-01,Published,720194,,,12000.00,25,,,Scheduled,past,sprint_car
6326,Volusia Speedway Park,,D-shaped Oval,Dirt,0.425,https://dv51o5gtpfm3w.cloudfront.net/Volusia_DCN2025 copy.jpg,29.21485,-81.34485,Barberville,FL,United States,5995776,2026,World of Outlaws Bike Week Jamboree,4548493,World of Outlaws Bike Week Jamboree,2026-03-02,Published,720195,,,12000.00,,,,Scheduled,past,sprint_car
6387,Talladega Short Track,"High-Banked, Red Clay Oval",Oval,Clay,0.28,https://dv51o5gtpfm3w.cloudfront.net/Talladega.jpg,33.58153575276003,-86.05146935582191,Eastaboga,AL,United States,5996718,2026,World of Outlaws Dega Duel,4549528,World of Outlaws Dega Duel,2026-03-06,Published,722484,,,12000.00,35,,,Scheduled,past,sprint_car
6325,Volunteer Speedway,,Paperclip,Dirt,0.4,https://dv51o5gtpfm3w.cloudfront.net/bullsgap.jpg,36.22321638577251,-83.05285325092619,Bulls Gap,TN,United States,5996704,2026,World of Outlaws Rocky Top Rumble,4549508,World of Outlaws Rocky Top Rumble,2026-03-13,Published,722452,,,12000.00,40,,,Scheduled,past,sprint_car
6521,Kennedale Speedway Park,,Oval,Dirt,0.292,https://dv51o5gtpfm3w.cloudfront.net/KENNEDALE.jpg,32.6235,-97.21724,Kennedale,TX,United States,5996720,2026,World of Outlaws Cowtown Classic,4549530,World of Outlaws Cowtown Classic,2026-03-13,Published,722486,,,12000.00,35,,,Scheduled,past,sprint_car
6304,Smoky Mountain Speedway,High-Banked,,Red Clay,0.4,https://dv51o5gtpfm3w.cloudfront.net/JJA_0078.jpg,35.63855,-84.10328,Maryville,TN,United States,5996666,2026,World of Outlaws Tennessee Tipoff,4549439,World of Outlaws Tennessee Tipoff,2026-03-14,Published,722275,,,20000.00,50,,,Scheduled,past,sprint_car
6386,Magnolia Motor Speedway,,Oval,Dirt,0.326,https://dv51o5gtpfm3w.cloudfront.net/Magnolia.jpg,33.4772,-88.48903,Columbus,MS,United States,5996667,2026,World of Outlaws Duel at The Mag,4549957,World of Outlaws Duel at the Mag Practice Night,2026-03-19,Published,723170,,,,,,,Scheduled,past,sprint_car
6386,Magnolia Motor Speedway,,Oval,Dirt,0.326,https://dv51o5gtpfm3w.cloudfront.net/Magnolia.jpg,33.4772,-88.48903,Columbus,MS,United States,5996667,2026,World of Outlaws Duel at The Mag,4549441,World of Outlaws Duel at the Mag,2026-03-20,Published,722277,,,12000.00,40,,,Scheduled,past,sprint_car
6343,Lawton Speedway,,Paperclip,Clay,0.377,https://dv51o5gtpfm3w.cloudfront.net/9X3A0786.jpg,34.57417,-98.42506,Lawton,OK,United States,5996721,2026,World of Outlaws Sooner Stampede,4549532,World of Outlaws Sooner Stampede,2026-03-20,Published,722488,,,12000.00,35,,,Scheduled,past,sprint_car
6386,Magnolia Motor Speedway,,Oval,Dirt,0.326,https://dv51o5gtpfm3w.cloudfront.net/Magnolia.jpg,33.4772,-88.48903,Columbus,MS,United States,5996667,2026,World of Outlaws Duel at The Mag,4549442,World of Outlaws Duel at the Mag,2026-03-21,Published,722278,,,20000.00,60,,,Scheduled,past,sprint_car
